Icon,Name,Package,Genre
https://play-lh.googleusercontent.com/awItARXnEpTdEoCP7o3aDtMkzRSC5MeLjFHYt5LiUnvtdG0c94f7_2qDeSVEeB_syA=w240-h480,Android TV Launcher,"com.google.android.leanbacklauncher","Tools"
https://play-lh.googleusercontent.com/aX0ql6V6PvVotibIvaNW7CRjaJ2oUyBIX_WgSkAl36vOAaoXiw6yQufxVQ2LV_D2DLg=w240-h480,Google Find My Device,"com.google.android.apps.adm","Tools"
https://play-lh.googleusercontent.com/b1DEBARCtfv3gIcv6ZSe4qpPpG_09MFdVYlkZkQQD1r9VOB2-GkEKJFBwmxGKzonKEY=w240-h480,Dive Case Connector for Pixel,"com.google.android.apps.camera.poseidon","Photography"
https://play-lh.googleusercontent.com/b3MqZswO8F7j3lcdH01kxzaeHa7vUndy7ma_JwdM_j_Vpj8LKZcKt0HmpORQ7CKF2A=w240-h480,Google News - Daily Headlines,"com.google.android.apps.magazines","News & Magazines"
https://play-lh.googleusercontent.com/bk3e0glVbvRC4Z0uEZ5Oso5wjS89r1P_X5e-k3N_UBkTPXZLhGv50rRy7LAuDzzC9w=w240-h480,Phone by Google,"com.google.android.dialer","Tools"
https://play-lh.googleusercontent.com/BQUYd1Th9Z_XI5wtklPQDHmiNkSOzBakOnpk-Ni8CBTyHb0E7UM5LpyjRW9BWs4fUuVD=w240-h480,Google Podcasts,"com.google.android.apps.podcasts","Music & Audio"
https://play-lh.googleusercontent.com/cF_oWC9Io_I9smEBhjhUHkOO6vX5wMbZJgFpGny4MkMMtz25iIJEh2wASdbbEN7jseAx=w240-h480,Google Chat,"com.google.android.apps.dynamite","Business"
https://play-lh.googleusercontent.com/CPyW3M9UC_NR8IvcArOxull74LWiKL3WqfPfjfqZnWVhYR-aErm3PIDut6Q970xJkOI=w240-h480,Device Utility,"com.google.android.apps.wifisetup.app","Lifestyle"
https://play-lh.googleusercontent.com/cRppaKNiHQqMwCK_C-UMrhUnroFCk55OgXYDLptJ2_kNYFU-csJOHFZKAvmnFPJsDw=w240-h480,Voice Action Services,"com.google.android.apps.actionsservice","Tools"
https://play-lh.googleusercontent.com/CtuXFD8EWTpuCJUY90bT830uUTbwYctJrQipLE29tsr23Y5U7H6c6ddeFBhBN51UQg=w240-h480,Daydream Keyboard,"com.google.android.vr.inputmethod","Tools"
https://play-lh.googleusercontent.com/cw5dsfacor9mV5qSyU3c2UcPHbp2XP_N3OA1-297kN_0K8yZrEMo6qaWraF1m6eRV2Y=w240-h480,Grasshopper: Learn to Code,"com.area120.grasshopper","Education"
https://play-lh.googleusercontent.com/cWG9-bk2_zLdKsN9vsYEdbCReVfzgXU6FeHUmLI8a24FoZ05TpOLYXInCQ278FTwCw=w240-h480,Blogger,"com.google.android.apps.blogger","Social"
https://play-lh.googleusercontent.com/d6Js0wL6riInBUWbxdN5rJjuu_6uygfs-06-8RVRRhDDKC9D4Hs8ZAevLsguTngc0Vkq=w240-h480,Google Apps Device Policy,"com.google.android.apps.enterprise.dmagent","Productivity"
https://play-lh.googleusercontent.com/d74zkuWfVBFWjyhWXz9R2d6wh-WCBWoNB4M0x8iIXHvDOvdYbXJA4ivUQBWTkUjKMso=w240-h480,Digital Wellbeing,"com.google.android.apps.wellbeing","Tools"
https://play-lh.googleusercontent.com/DG-zbXPr8LItYD8F2nD4aR_SK_jpkipLBK77YWY-F0cdJt67VFgCHZtRtjsakzTw3EM=w240-h480,Google Slides,"com.google.android.apps.docs.editors.slides","Productivity"
https://play-lh.googleusercontent.com/DGAleS46qOedNzJGsB3e29QLpL6Qi6EwIDze95nBvxMAMGEmbE6KOW__2haEkHVDs4Y=w240-h480,Google One,"com.google.android.apps.subscriptions.red","Productivity"
https://play-lh.googleusercontent.com/DglqS-eYHQYXnj8M8tmzh3JcKDXcidSo3IzgyCZzci8ZTV9Pmuk8vvIFh9XHOztC3Q=w240-h480,Google Play Books & Audiobooks,"com.google.android.apps.books","Books & Reference"
https://play-lh.googleusercontent.com/DHBlQKvUNbopIS-VjQb3fUKQ_QH0Em-Q66AwG6LwD1Sach3lUvEWDb6hh8xNvKGmctU=w240-h480,Google Wallet,"com.google.android.apps.walletnfcrel","Finance"
https://play-lh.googleusercontent.com/DjOehhj7NQVdm1dmBAGdmxgoNR76IxZPG5lHoDx0EAKv8NGgvgxm4GuzQ-iTOk1nMQ=w240-h480,Google Meet (original),"com.google.android.apps.meetings","Business"
https://play-lh.googleusercontent.com/DK5GVYRQZsfDEESxoSXb7vYbX4ZYEeU8Sn0_se4fV2p2hj0NKhcmxANX4Wdq9Dvt0_k=w240-h480,Wear OS System UI,"com.google.android.wearable.sysui","Tools"
https://play-lh.googleusercontent.com/drnkC46hMwqPTdRLLLufhKgy_dRhA7uNTN14-tq2NxtI3deDakYOAR_4zeHcqbGg4Q=w240-h480,Android Auto,"com.google.android.projection.gearhead","Auto & Vehicles"
https://play-lh.googleusercontent.com/EbzDx68RZddtIMvs8H8MLcO-KOiBqEYJbi_kRjEdXved0p3KXr0nwUnLUgitZ5kQVWVZ=w240-h480,Health Connect by Android,"com.google.android.apps.healthdata","Health & Fitness"
https://play-lh.googleusercontent.com/emmbClh_hm0WpWZqJ0X59B8Pz1mKoB9HVLkYMktxhGE6_-30SdGoa-BmYW73RJ8MGZQ=w240-h480,Google Docs,"com.google.android.apps.docs.editors.docs","Productivity"
https://play-lh.googleusercontent.com/eNYOraC9zc8Po9DFe41g1WzF-JSXqigWAM2IUWjeRHaJRb3JQbc34y9IvehplQE2uAAp=w240-h480,Live Channels,"com.google.android.tv","Entertainment"
